日期,收盘,开盘,高,低,涨跌幅,交易量
2025-01-14,3240.94,3165.16,3245.22,3159.43,46920000000.0,+2.54%
2025-01-13,3160.75,3148.83,3172.7,3140.98,37270000000.0,-0.25%
2025-01-10,3168.52,3211.71,3220.11,3168.52,40370000000.0,-1.33%
2025-01-09,3211.39,3220.72,3228.97,3205.91,38290000000.0,-0.58%
2025-01-08,3230.17,3218.86,3246.29,3175.72,47290000000.0,+0.02%
2025-01-07,3229.64,3203.31,3230.85,3190.46,40970000000.0,+0.71%
2025-01-06,3206.92,3209.78,3219.49,3185.46,43100000000.0,-0.14%
2025-01-03,3211.43,3267.08,3273.57,3205.78,51760000000.0,-1.57%
2025-01-02,3262.56,3347.94,3351.72,3242.09,56140000000.0,-2.66%
2024-12-31,3351.76,3406.97,3413.45,3351.76,50270000000.0,-1.63%
2024-12-30,3407.33,3395.4,3412.84,3394.96,45530000000.0,+0.21%
2024-12-27,3400.14,3397.29,3418.95,3388.32,50050000000.0,+0.06%
2024-12-26,3398.08,3389.34,3401.1,3380.25,42220000000.0,+0.14%
2024-12-25,3393.35,3395.11,3406.21,3374.01,47130000000.0,-0.01%
2024-12-24,3393.53,3353.54,3394.9,3352.95,47200000000.0,+1.26%
2024-12-23,3351.26,3367.9,3384.99,3348.28,55670000000.0,-0.50%
2024-12-20,3368.07,3364.48,3390.62,3362.82,49100000000.0,-0.06%
2024-12-19,3370.03,3355.9,3377.53,3346.47,51390000000.0,-0.36%
2024-12-18,3382.21,3371.3,3396.46,3371.3,51250000000.0,+0.62%
2024-12-17,3361.49,3381.81,3396.21,3357.77,56890000000.0,-0.73%
2024-12-16,3386.33,3390.08,3401.93,3376.54,62560000000.0,-0.16%
