日期,收盘,开盘,高,低,涨跌幅,交易量
"1月 14, 2025","3,240.94","3,165.16","3,245.22","3,159.43",46.92B,+2.54%
"1月 13, 2025","3,160.75","3,148.83","3,172.70","3,140.98",37.27B,-0.25%
"1月 10, 2025","3,168.52","3,211.71","3,220.11","3,168.52",40.37B,-1.33%
"1月 09, 2025","3,211.39","3,220.72","3,228.97","3,205.91",38.29B,-0.58%
"1月 08, 2025","3,230.17","3,218.86","3,246.29","3,175.72",47.29B,+0.02%
"1月 07, 2025","3,229.64","3,203.31","3,230.85","3,190.46",40.97B,+0.71%
"1月 06, 2025","3,206.92","3,209.78","3,219.49","3,185.46",43.10B,-0.14%
"1月 03, 2025","3,211.43","3,267.08","3,273.57","3,205.78",51.76B,-1.57%
"1月 02, 2025","3,262.56","3,347.94","3,351.72","3,242.09",56.14B,-2.66%
"12月 31, 2024","3,351.76","3,406.97","3,413.45","3,351.76",50.27B,-1.63%
"12月 30, 2024","3,407.33","3,395.40","3,412.84","3,394.96",45.53B,+0.21%
"12月 27, 2024","3,400.14","3,397.29","3,418.95","3,388.32",50.05B,+0.06%
"12月 26, 2024","3,398.08","3,389.34","3,401.10","3,380.25",42.22B,+0.14%
"12月 25, 2024","3,393.35","3,395.11","3,406.21","3,374.01",47.13B,-0.01%
"12月 24, 2024","3,393.53","3,353.54","3,394.90","3,352.95",47.20B,+1.26%
"12月 23, 2024","3,351.26","3,367.90","3,384.99","3,348.28",55.67B,-0.50%
"12月 20, 2024","3,368.07","3,364.48","3,390.62","3,362.82",49.10B,-0.06%
"12月 19, 2024","3,370.03","3,355.90","3,377.53","3,346.47",51.39B,-0.36%
"12月 18, 2024","3,382.21","3,371.30","3,396.46","3,371.30",51.25B,+0.62%
"12月 17, 2024","3,361.49","3,381.81","3,396.21","3,357.77",56.89B,-0.73%
"12月 16, 2024","3,386.33","3,390.08","3,401.93","3,376.54",62.56B,-0.16%
